id,nome
1,Gran San Bernardo
2,Etroubles
3,Aosta
4,Châtillon
5,Verrès
6,Pont St.Martin
7,Ivrea
8,Viverone
9,Santhià
10,Vercelli
11,Robbio
12,Mortara
13,Garlasco
14,Pavia
15,Santa Cristina
16,Orio Litta
17,Piacenza
18,Fiorenzuola d’Arda
19,Fidenza
20,Fornovo
21,Cassio
22,Passo della Cisa
23,Pontremoli
24,Aulla
25,Avenza
26,Pietrasanta
27,Lucca
28,Altopascio
29,San Miniato
30,Gambassi Terme
31,San Gimignano
32,Monteriggioni
33,Siena
34,Ponte d’Arbia
35,San Quirico d’Orcia
36,Radicofani
37,Acquapendente
38,Bolsena
39,Montefiascone
40,Viterbo
41,Vetralla
42,Sutri
43,Campagnano di Roma
44,La Storta
45,Roma
