id,idLuogo1,idLuogo2,km,durata,gpx_url
1,1,2,14.9,4,01-GSB-Etroubles.gpx
2,2,3,13.6,3.3,02-Etroubles-Aosta.gpx
3,3,4,27.7,8,03-Aosta-Chatillon.gpx
4,4,5,19,6,04-Chatillon-Verres.gpx
5,5,6,14.8,4,05-Vèrres-PontSaintMartin.gpx
6,6,7,21.5,5.3,06-PontSaintMartin-Ivrea.gpx
7,7,8,20.1,5,07-Ivrea-Viverone.gpx
8,8,9,16.7,4,08-Viverone-Santhià.gpx
9,9,10,26.8,6.4,09-Santhià-Vercelli.gpx
10,10,11,18.6,4.3,10-Vercelli-Robbio.gpx
11,11,12,14.3,3.3,11-Robbio-Mortara.gpx
12,12,13,20.7,5.3,12-Mortara-Garlasco.gpx
13,13,14,25.5,6.3,13-Garlasco-Pavia.gpx
14,14,15,28,7,14-Pavia-SantaCristina.gpx
15,15,16,16.1,4.15,15-SantaCristina-OrioLitta.gpx
16,16,17,22.1,5.3,16-OrioLitta-Piacenza.gpx
17,17,18,31.6,8.3,17-Piacenza-Fiorenzuola.gpx
18,18,19,22.3,5.3,18-Fiorenzuola-Fidenza.gpx
19,19,20,34,8.3,19-Fidenza-Fornovo.gpx
20,20,21,20.9,5.3,20-Fornovo-Cassio.gpx
21,21,22,19.2,5.3,21-Cassio-PassoCisa.gpx
22,22,23,19.3,5.3,22-PassoCisa-Pontremoli.gpx
23,23,24,32.3,8.3,23-Pontremoli-Aulla.gpx
24,24,25,32.9,8,24-Aulla-Avenza.gpx
25,25,26,29.1,6,25-Avenza-Pietrasanta.gpx
26,26,27,32.4,7.3,26-Pietrasanta-Lucca.gpx
27,27,28,18.5,4.3,27-Lucca-Altopascio.gpx
28,28,29,29,7,28-Altopascio-SanMiniato.gpx
29,29,30,24,7,29-SanMiniato-GambassiTerme.gpx
30,30,31,13.4,3.3,30-GambassiTerme-SanGimignano.gpx
31,31,32,30.9,8,31-SanGimignano-Monteriggioni.gpx
32,32,33,20.6,5,32-Monteriggioni-Siena.gpx
33,33,34,25.7,6.3,33-Siena-PontedArbia.gpx
34,34,35,26.2,6.3,34-PontedArbia-SanQuirico.gpx
35,35,36,32.2,8.3,35-SanQuirico-Radicofani.gpx
36,36,37,23.9,6,36-Radicofani-Acquapendente.gpx
37,37,38,22.1,5.3,37-Acquapendente-Bolsena.gpx
38,38,39,17.7,4.3,38-Bolsena-Montefiascone.gpx
39,39,40,17.8,4.3,39-Montefiascone-Viterbo.gpx
40,40,41,16.9,4.15,40-Viterbo-Vetralla.gpx
41,41,42,23.6,6,41-Vetralla-Sutri.gpx
42,42,43,23.8,6,42-Sutri-Campagnano.gpx
43,43,44,22.4,6,43-Campagnano-LaStorta.gpx
44,44,45,17.2,4.2,44-LaStorta-Roma.gpx
